holding_period,ZI_0_100_shade0_500,ZI_100_0_shade0_500,ZI_100_0_shade250_500,ZI_0_100_shade250_500
0,2781.508657375061,2349.365319329317,3021.6022168776603,1588.296983051172
50,544.5532867661653,12729.539540576669,12729.249543968068,577.1502765888428
60,187.85905617060868,5558.342970348797,2687.7536992754617,449.16600802809654
70,409.5798081705046,21324.02788953899,16203.517540074414,9162.175900548533
80,7791.404011213895,8116.54688353549,25661.48996511071,5493.880864801771
90,302.4686181744093,21681.991773710135,22089.39281050756,261.2335236577854
100,14724.767615432096,11410.743614452529,8153.730793877949,10916.28532533855
120,355.183897812745,24815.964768571357,25529.809400944898,208.23749548855255
140,658.1568565629555,1946.3120788629537,1986.752369776204,633.713496161771
160,6693.632774799681,20929.556042747685,16873.41471087686,2875.7760426636096
180,6899.936716261054,21531.262057134354,12740.711407839906,5503.100663751128
200,5634.163092074114,11567.048125392781,20889.056301294506,4960.4348027408305
220,291.6624830350632,2145.041392669513,2287.507588355758,-12.262869299511323
240,69.80442459244709,5384.576796360416,2068.522388824144,247.9806955935824
260,126.03925417679542,24193.164601846805,24621.10974472721,130.52518351072808
280,113.80308543127668,23369.571407274812,23051.101377511415,91.67738714943364
300,6660.448890393673,20831.54628386019,12579.023389290564,5289.856740601369
1000,7508.4814979215,19983.445471808012,12372.117976016956,5296.808486988953
