holding_period,MOBI_100_0_shade250_500,MOBI_0_100_shade0_0,MOBI_100_0_shade0_500
0,52291.12554508572,55707.98105786875,61376.25904633788
50,63544.388315375625,56144.48696992402,45668.74110869923
60,41435.80614787118,51378.41548603615,50420.71682525891
70,48947.3260915305,30437.439512229914,46231.5733778453
80,52968.186607996635,60067.568694333546,47608.72014420477
90,63493.63625687605,29627.128009450804,46540.787135377286
100,49730.76294254437,29439.81717793683,40083.1111432009
120,53090.91970849047,0.0,45592.992346227475
140,52146.252220287104,49891.12580538762,60940.417271604696
160,63657.64718091866,27156.619821605516,45802.478447418696
180,52928.163575611274,52809.57173721313,47573.683826083136
200,50111.37062626833,25642.455795305174,61039.97148433445
220,63608.290999857,43938.11034269802,50070.38188622739
240,40261.100219753585,41256.50672907454,50431.23035265028
260,53111.45469352766,0.0,46338.39148947203
280,63664.73152176776,23124.27755849462,45350.57273140881
300,53179.387250680316,45093.06857204416,48260.80893642743
1000,50041.20284252561,17684.579202670728,50497.27173357277
