equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,27198.634462951664,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,22540.778927978517,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,0.0,21812.668033167753,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
4,0.0,26449.961560358657,"{'MELO_0_100': 0.800000011920929, 'MELO_100_0': 0.20000000298023224}","[0.800000011920929, 0.20000000298023224]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.800000011920929
5,0.0,21832.192323280902,"{'MELO_0_100': 0.20000000298023224, 'MELO_100_0': 0.800000011920929}","[0.20000000298023224, 0.800000011920929]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.800000011920929
6,0.0,25707.90051815638,"{'MELO_0_100': 0.699999988079071, 'MELO_100_0': 0.30000001192092896}","[0.699999988079071, 0.30000001192092896]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.699999988079071
7,0.0,24225.217590455533,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
8,0.0,21376.6949304555,"{'MELO_0_100': 0.30000001192092896, 'MELO_100_0': 0.699999988079071}","[0.30000001192092896, 0.699999988079071]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.699999988079071
9,0.0,20969.691788392534,"{'MELO_0_100': 0.4000000059604645, 'MELO_100_0': 0.6000000238418579}","[0.4000000059604645, 0.6000000238418579]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6000000238418579
10,0.0,21263.899118885638,"{'MELO_0_100': 0.4673440456390381, 'MELO_100_0': 0.5326558947563171}","[0.4673440456390381, 0.5326558947563171]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5326558947563171
11,0.0,21007.680547366166,"{'MELO_0_100': 0.43582648038864136, 'MELO_100_0': 0.5641735196113586}","[0.43582648038864136, 0.5641735196113586]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5641735196113586
12,0.0,23305.336297239286,"{'MELO_0_100': 0.5604860782623291, 'MELO_100_0': 0.4395139813423157}","[0.5604860782623291, 0.4395139813423157]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5604860782623291
13,0.0,21133.490897622924,"{'MELO_0_100': 0.4550705850124359, 'MELO_100_0': 0.5449293851852417}","[0.4550705850124359, 0.5449293851852417]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5449293851852417
14,0.0,22442.76389333231,"{'MELO_0_100': 0.5269256830215454, 'MELO_100_0': 0.4730743169784546}","[0.5269256830215454, 0.4730743169784546]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5269256830215454
15,0.0,24414.610901128322,"{'MELO_0_100': 0.6093734502792358, 'MELO_100_0': 0.39062657952308655}","[0.6093734502792358, 0.39062657952308655]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6093734502792358
16,0.0,25768.50137657021,"{'MELO_0_100': 0.706168532371521, 'MELO_100_0': 0.2938314974308014}","[0.706168532371521, 0.2938314974308014]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.706168532371521
17,0.0,20960.297191587684,"{'MELO_0_100': 0.410908967256546, 'MELO_100_0': 0.5890910029411316}","[0.410908967256546, 0.5890910029411316]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5890910029411316
18,0.0,24084.916938770195,"{'MELO_0_100': 0.5934079885482788, 'MELO_100_0': 0.4065920114517212}","[0.5934079885482788, 0.4065920114517212]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5934079885482788
19,0.0,20962.562054021226,"{'MELO_0_100': 0.41762974858283997, 'MELO_100_0': 0.5823702216148376}","[0.41762974858283997, 0.5823702216148376]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5823702216148376
20,0.0,25319.085711041193,"{'MELO_0_100': 0.665820837020874, 'MELO_100_0': 0.3341791331768036}","[0.665820837020874, 0.3341791331768036]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.665820837020874
21,0.0,23084.40907458747,"{'MELO_0_100': 0.5518407821655273, 'MELO_100_0': 0.44815924763679504}","[0.5518407821655273, 0.44815924763679504]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5518407821655273
22,0.0,25559.222456121784,"{'MELO_0_100': 0.6859119534492493, 'MELO_100_0': 0.31408804655075073}","[0.6859119534492493, 0.31408804655075073]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6859119534492493
23,0.0,21586.14087183964,"{'MELO_0_100': 0.25595784187316895, 'MELO_100_0': 0.744042158126831}","[0.25595784187316895, 0.744042158126831]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.744042158126831
24,0.0,21043.585693168232,"{'MELO_0_100': 0.4429071843624115, 'MELO_100_0': 0.5570927858352661}","[0.4429071843624115, 0.5570927858352661]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5570927858352661
25,0.0,24961.52435775819,"{'MELO_0_100': 0.6405882835388184, 'MELO_100_0': 0.35941171646118164}","[0.6405882835388184, 0.35941171646118164]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6405882835388184
26,0.0,27149.07707470267,"{'MELO_0_100': 0.9816908836364746, 'MELO_100_0': 0.018309123814105988}","[0.9816908836364746, 0.018309123814105988]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.9816908836364746
27,0.0,26059.51891894053,"{'MELO_0_100': 0.7399669289588928, 'MELO_100_0': 0.26003313064575195}","[0.7399669289588928, 0.26003313064575195]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.7399669289588928
28,0.0,27084.20409991674,"{'MELO_0_100': 0.9590506553649902, 'MELO_100_0': 0.04094938188791275}","[0.9590506553649902, 0.04094938188791275]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.9590506553649902
29,0.0,21931.212282297445,"{'MELO_0_100': 0.1757936179637909, 'MELO_100_0': 0.8242064118385315}","[0.1757936179637909, 0.8242064118385315]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.8242064118385315
30,0.0,24765.67658851473,"{'MELO_0_100': 0.6285682320594788, 'MELO_100_0': 0.37143179774284363}","[0.6285682320594788, 0.37143179774284363]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6285682320594788
31,0.0,22796.924063783605,"{'MELO_0_100': 0.5407337546348572, 'MELO_100_0': 0.4592662751674652}","[0.5407337546348572, 0.4592662751674652]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5407337546348572
32,0.0,27060.295501216035,"{'MELO_0_100': 0.9510699510574341, 'MELO_100_0': 0.04893002286553383}","[0.9510699510574341, 0.04893002286553383]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.9510699510574341
33,0.0,22499.556520019105,"{'MELO_0_100': 0.01354859210550785, 'MELO_100_0': 0.9864513874053955}","[0.01354859210550785, 0.9864513874053955]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.9864513874053955
34,0.0,21619.245311457904,"{'MELO_0_100': 0.24873948097229004, 'MELO_100_0': 0.7512605786323547}","[0.24873948097229004, 0.7512605786323547]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.7512605786323547
35,0.0,20970.387391349053,"{'MELO_0_100': 0.423480361700058, 'MELO_100_0': 0.5765196084976196}","[0.423480361700058, 0.5765196084976196]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5765196084976196
36,0.0,21218.83832133071,"{'MELO_0_100': 0.3325302302837372, 'MELO_100_0': 0.6674697995185852}","[0.3325302302837372, 0.6674697995185852]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6674697995185852
37,0.0,21201.362445024024,"{'MELO_0_100': 0.4619394838809967, 'MELO_100_0': 0.5380604863166809}","[0.4619394838809967, 0.5380604863166809]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5380604863166809
38,0.0,22337.89908790793,"{'MELO_0_100': 0.06416245549917221, 'MELO_100_0': 0.9358375668525696}","[0.06416245549917221, 0.9358375668525696]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.9358375668525696
39,0.0,24664.972540941188,"{'MELO_0_100': 0.6227833032608032, 'MELO_100_0': 0.3772166669368744}","[0.6227833032608032, 0.3772166669368744]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6227833032608032
40,0.0,21038.70642115439,"{'MELO_0_100': 0.3741188049316406, 'MELO_100_0': 0.6258811950683594}","[0.3741188049316406, 0.6258811950683594]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6258811950683594
